target_profit_pct,stop_loss_pct,max_holding_days,score
0.1264724715559366,0.07679574312619722,8,4.3
0.10848768852255364,0.04842902182361926,7,3.69
0.0772907401696104,0.056893864282326054,3,1.06
0.14764493839709897,0.022464497427296816,3,1.06
0.06733978783850117,0.023278530741004944,4,0.77
0.12756030113645533,0.07699831752534753,4,0.38
0.09266882726578679,0.06843346272181328,4,0.38
0.07572773789838351,0.028179098381956248,4,0.35
0.044150808203602177,0.026146332326309047,15,-0.48
0.053436198050937585,0.03605429637312969,10,-2.98
0.0818223499504443,0.0689733563211041,12,-3.24
0.11040729906155278,0.04710610718624318,7,-inf
